Crop,N,P,K,pH,rainfall,temperature
banana,100.0,75.0,50.0,6.5,1267.49,26.71
barley,70.0,40.0,45.0,5.5,108.71,21.51
bittergourd,60.0,10.0,20.0,6.5,1538.74,27.28
blackgram,40.0,60.0,20.0,4.99,516.47,27.77
blackpepper,100.0,60.0,50.0,5.0,1953.56,25.33
bottlegourd,100.0,50.0,50.0,6.49,1028.35,27.88
brinjal,80.0,15.0,40.0,6.52,1326.26,27.57
cabbage,100.0,65.0,70.0,6.5,1084.9,28.2
cardamom,75.0,75.0,150.0,5.02,1737.46,26.43
cauliflower,80.0,70.0,50.0,6.5,1093.38,28.09
coriander,10.0,20.0,20.0,6.51,996.85,26.85
cotton,120.0,40.0,20.0,5.5,733.83,29.36
cucumber,60.0,60.0,85.0,6.48,926.02,28.3
drumstick,40.0,20.0,10.0,6.52,1680.59,27.76
garlic,50.0,10.0,60.0,5.5,974.33,26.64
grapes,20.0,125.0,200.0,3.99,1086.75,26.19
horsegram,20.0,60.0,20.0,6.0,612.64,25.8
jackfruit,75.0,40.0,50.0,4.96,1391.72,27.44
jowar,80.0,40.0,40.0,5.5,603.55,28.81
jute,80.0,40.0,40.0,5.5,1084.03,28.65
ladyfinger,80.0,10.0,40.0,6.48,1138.75,28.18
maize,80.0,40.0,20.0,5.5,587.13,28.4
mango,20.0,20.0,30.0,4.99,1178.26,27.19
moong,20.0,40.0,20.0,5.5,491.52,29.0
onion,120.0,60.0,65.0,6.0,792.51,26.7
orange,20.0,10.0,10.0,4.0,1493.62,26.37
papaya,50.0,50.0,50.0,6.01,1340.91,26.57
pineapple,160.0,40.0,120.0,6.51,1753.24,24.94
potato,180.0,60.0,90.0,4.99,882.66,24.71
pumpkin,80.0,50.0,30.0,5.54,884.5,27.65
radish,25.0,100.0,50.0,5.98,1135.17,26.77
ragi,50.0,40.0,20.0,5.5,717.1,27.22
rapeseed,50.0,40.0,20.0,5.0,125.2,22.1
rice,80.0,40.0,40.0,5.5,584.35,27.76
soyabean,20.0,60.0,20.0,5.49,853.51,27.74
sunflower,50.0,60.0,30.0,5.5,521.74,26.85
sweetpotato,90.0,20.0,120.0,5.0,1199.82,27.84
tomato,100.0,40.0,90.0,6.0,1107.18,27.32
turmeric,25.0,60.0,100.0,5.0,1394.86,25.04
wheat,60.0,30.0,30.0,6.49,104.17,21.77
