,precision,recall,f1-score,support
jowar,0.531416400425985,0.5912322274881516,0.559730790802019,844.0
rice,0.7971781305114638,0.755011135857461,0.7755218758936231,1796.0
cabbage,1.0,1.0,1.0,21.0
banana,1.0,1.0,1.0,406.0
coriander,1.0,1.0,1.0,378.0
cotton,1.0,1.0,1.0,490.0
cucumber,1.0,1.0,1.0,16.0
brinjal,1.0,1.0,1.0,44.0
garlic,1.0,1.0,1.0,332.0
grapes,1.0,1.0,1.0,15.0
maize,1.0,1.0,1.0,1581.0
mango,1.0,1.0,1.0,53.0
onion,1.0,1.0,1.0,838.0
orange,1.0,1.0,1.0,22.0
papaya,1.0,1.0,1.0,45.0
cardamom,1.0,1.0,1.0,43.0
pineapple,1.0,1.0,1.0,21.0
potato,1.0,1.0,1.0,866.0
pumpkin,1.0,1.0,1.0,7.0
radish,1.0,1.0,1.0,10.0
sunflower,1.0,1.0,1.0,590.0
tomato,1.0,1.0,1.0,47.0
turmeric,1.0,1.0,1.0,422.0
wheat,1.0,1.0,1.0,1029.0
