Feature_1,Feature_2,Correlation,Absolute_Correlation
N,K,0.49000870353487014,0.49000870353487014
K,rainfall,0.3519564832533255,0.3519564832533255
K,pH,-0.28592650052970736,0.28592650052970736
N,P,0.2772971749333037,0.2772971749333037
P,K,0.2168458645108434,0.2168458645108434
N,pH,-0.15582024933052918,0.15582024933052918
P,rainfall,0.15512703430477712,0.15512703430477712
N,rainfall,0.12409456526527404,0.12409456526527404
pH,rainfall,-0.0708421112056958,0.0708421112056958
P,pH,-0.0657732057754904,0.0657732057754904
K,temperature,-0.05092481317238887,0.05092481317238887
pH,temperature,-0.05043435471252961,0.05043435471252961
rainfall,temperature,0.047469154236957946,0.047469154236957946
N,temperature,-0.0034050794091879835,0.0034050794091879835
P,temperature,-0.001411573403520471,0.001411573403520471
