,precision,recall,f1-score,support
banana,1.0,1.0,1.0,101.0
brinjal,1.0,1.0,1.0,11.0
cabbage,1.0,1.0,1.0,5.0
cardamom,1.0,1.0,1.0,11.0
coriander,1.0,1.0,1.0,95.0
cotton,1.0,1.0,1.0,123.0
cucumber,1.0,1.0,1.0,4.0
garlic,1.0,1.0,1.0,83.0
grapes,1.0,1.0,1.0,4.0
jowar,0.5842696629213483,0.4928909952606635,0.5347043701799485,211.0
maize,1.0,1.0,1.0,395.0
mango,1.0,1.0,1.0,13.0
onion,1.0,1.0,1.0,209.0
orange,1.0,1.0,1.0,5.0
papaya,1.0,1.0,1.0,11.0
pineapple,1.0,1.0,1.0,5.0
potato,1.0,1.0,1.0,217.0
pumpkin,1.0,1.0,1.0,2.0
radish,1.0,1.0,1.0,3.0
rice,0.7780082987551867,0.8351893095768375,0.8055853920515574,449.0
sunflower,1.0,1.0,1.0,147.0
tomato,1.0,1.0,1.0,12.0
turmeric,1.0,1.0,1.0,106.0
wheat,1.0,1.0,1.0,258.0
accuracy,0.927016129032258,0.927016129032258,0.927016129032258,0.927016129032258
macro avg,0.973428248403189,0.9720033460348958,0.9725120734263127,2480.0
weighted avg,0.9244381552489853,0.927016129032258,0.9252138964270638,2480.0
